seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1,2026.01.02 03:45:00,2026.01.02 06:15:00,ENTRY,XAUUSD,M3,2,SELL,FULLTGT,DAY,0,4346.68,4353.63,4353.63,6.95,1.00,6.95,4339.73,4332.78,4325.83,4318.87,4311.92,0.17,0.17,0.17,4346.68,0.00,0.00,0.00,4348.19,4348.28,4343.89,4348.56,4348.43,1.261,3.48,17.42,47.70,53.64,0.54,1.07,-0.53,4345.87,4346.68,438,454,28.6,42.9,5,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24999.40,24998.55,KZ=ASIA; KZR=no-sweep-yet; DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
2,2026.01.02 03:48:00,2026.01.02 06:18:00,FLIP,XAUUSD,M3,2,SELL,FULLTGT,DAY,0,4346.68,4353.63,4353.63,6.95,1.00,6.95,4339.73,4332.78,4325.83,4318.87,4311.92,0.17,0.00,0.00,4350.12,0.00,-0.49,0.00,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=0;EMA50=1;VWAP=1;BIAS=1,0.08,-0.51,24999.40,24940.92,opposite signal before SL/target | SELL -> BUY | closing trade 2
3,2026.01.02 03:48:00,2026.01.02 06:18:00,EXIT_FLIP,XAUUSD,M3,2,SELL,FULLTGT,DAY,0,4346.68,4353.63,4353.63,6.95,1.00,6.95,4339.73,4332.78,4325.83,4318.87,4311.92,0.17,0.17,0.00,4350.12,0.00,-0.49,0.00,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=0;EMA50=1;VWAP=1;BIAS=1,0.08,-0.51,24940.32,24940.32,FLIP exit
4,2026.01.02 03:48:00,2026.01.02 06:18:00,EXIT_OTHER,XAUUSD,M3,2,SELL,FULLTGT,DAY,0,4346.68,4353.63,4353.63,6.95,1.00,6.95,4339.73,4332.78,4325.83,4318.87,4311.92,0.17,0.17,0.00,4350.12,0.00,-0.49,-59.68,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=0;EMA50=1;VWAP=1;BIAS=1,0.08,-0.51,24940.32,24940.32,FLIP exit
5,2026.01.02 03:48:00,2026.01.02 06:18:00,ENTRY,XAUUSD,M3,4,BUY,FULLTGT,DAY,2,4350.12,4343.54,4343.54,6.58,1.00,6.58,4356.70,4363.28,4369.86,4376.44,4383.02,0.18,0.18,0.18,4350.12,0.00,0.00,0.00,4348.57,4348.44,4344.14,4348.19,4348.28,1.308,3.29,15.33,54.60,53.64,0.64,0.96,-0.32,4345.94,4350.09,436,455,57.1,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=0;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24939.69,24938.79,KZ=ASIA; KZR=no-sweep-yet; DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3; flipped from trade 2
6,2026.01.02 04:12:00,2026.01.02 06:42:00,FLIP,XAUUSD,M3,4,BUY,FULLTGT,DAY,0,4350.12,4343.54,4343.54,6.58,1.00,6.58,4356.70,4363.28,4369.86,4376.44,4383.02,0.18,0.00,0.00,4347.37,0.00,-0.42,0.00,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.66,-0.53,24939.69,24890.19,opposite signal before SL/target | BUY -> SELL | closing trade 4
7,2026.01.02 04:12:00,2026.01.02 06:42:00,EXIT_FLIP,XAUUSD,M3,4,BUY,FULLTGT,DAY,0,4350.12,4343.54,4343.54,6.58,1.00,6.58,4356.70,4363.28,4369.86,4376.44,4383.02,0.18,0.18,0.00,4347.37,0.00,-0.42,0.00,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.66,-0.53,24889.56,24889.56,FLIP exit
8,2026.01.02 04:12:00,2026.01.02 06:42:00,EXIT_OTHER,XAUUSD,M3,4,BUY,FULLTGT,DAY,0,4350.12,4343.54,4343.54,6.58,1.00,6.58,4356.70,4363.28,4369.86,4376.44,4383.02,0.18,0.18,0.00,4347.37,0.00,-0.42,-50.76,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.66,-0.53,24889.56,24889.56,FLIP exit
9,2026.01.02 04:12:00,2026.01.02 06:42:00,ENTRY,XAUUSD,M3,6,SELL,FULLTGT,DAY,4,4347.37,4353.22,4353.22,5.85,1.00,5.85,4341.52,4335.66,4329.81,4323.96,4318.11,0.21,0.21,0.21,4347.37,0.00,0.00,0.00,4348.78,4348.88,4345.60,4349.14,4349.03,1.122,2.93,12.49,47.47,52.66,0.30,0.76,-0.46,4346.41,4347.37,268,422,28.6,42.9,5,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24888.82,24887.77,KZ=ASIA; KZR=no-sweep-yet; DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3; flipped from trade 4
10,2026.01.02 04:38:40,2026.01.02 07:08:40,EXIT_SL,XAUUSD,M3,6,SELL,FULLTGT,DAY,4,4347.37,4353.22,4353.22,5.85,1.00,5.85,4341.52,4335.66,4329.81,4323.96,4318.11,0.21,0.21,0.00,4353.25,0.00,-1.00,-124.96,4348.30,4348.31,4346.16,4347.51,4348.00,0.717,3.00,16.35,58.11,50.80,0.04,-0.11,0.15,4346.53,4351.46,544,387,71.4,14.3,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.37,-0.99,24764.60,24764.60,stopped at the initial SL (x1.00 of usual)
